Name X Y BlueF GreenF RedF Parallax RadialVelocity Variable?
S080377 44.3449 -29.8657 2.082e-20 2.878e-20 4.129e-20 0.0 38.39 0.0
S080378 44.2478 -29.9651 4.185e-21 6.663e-21 1.265e-20 0.0 39.44 0.0
S080380 44.2962 -29.8635 3.844e-22 6.893e-22 1.683e-21 0.0 40.34 0.0
S080381 44.3536 -29.868 5.412e-21 8.407e-21 1.473e-20 0.0 38.56 0.0
S080382 44.3145 -29.8798 1.280e-21 2.348e-21 6.040e-21 0.0 39.89 0.0
S080383 44.368 -29.8425 9.070e-20 1.098e-19 1.161e-19 0.0 38.06 0.0
S080385 44.361 -29.9352 6.866e-18 1.662e-17 7.729e-17 0.0 39.16 1.0
S080387 44.3287 -29.9519 6.709e-19 6.602e-19 4.585e-19 0.0 40.53 0.0
S080388 44.3199 -29.8448 2.599e-18 4.277e-18 8.677e-18 0.0 39.42 0.0
S080389 44.3268 -29.9136 2.522e-16 1.793e-16 6.440e-17 0.0 40.74 0.0
S080390 44.3546 -29.8656 6.657e-19 6.576e-19 4.470e-19 0.0 38.48 0.0
S080392 44.3692 -29.8146 7.157e-18 5.991e-18 2.974e-18 0.0 37.07 0.0
S080394 44.4496 -29.8981 4.106e-22 8.015e-22 2.298e-21 0.0 36.83 0.0
S080395 44.2791 -29.8787 8.999e-19 8.828e-19 6.194e-19 0.0 40.33 0.0
S080396 44.3536 -29.9168 3.189e-21 5.385e-21 1.105e-20 0.0 39.21 0.0
S080398 44.3629 -29.8687 7.448e-22 1.436e-21 4.109e-21 0.0 38.59 0.0
S080400 44.4188 -29.85 3.188e-20 4.114e-20 5.004e-20 0.0 36.89 0.0
S080401 44.3283 -29.872 2.172e-18 3.726e-18 8.261e-18 0.0 39.34 0.0
S080402 44.3037 -29.9162 3.516e-19 3.755e-19 3.246e-19 0.0 40.7 0.0
S080403 44.333 -29.9018 4.405e-18 3.606e-18 1.744e-18 0.0 39.93 0.0
S080405 44.3853 -29.8302 1.157e-19 1.394e-19 1.398e-19 0.0 37.44 0.0
S080406 44.3119 -29.8285 2.128e-19 2.292e-19 1.924e-19 0.0 39.47 0.0
S080407 44.3216 -29.8571 1.769e-18 3.139e-18 7.511e-18 0.0 39.37 0.0
S080409 44.3662 -29.8442 9.441e-20 1.137e-19 1.201e-19 0.0 37.8 0.0
S080410 44.3366 -29.861 6.059e-22 1.065e-21 2.493e-21 0.0 39.1 0.0
S080411 44.3067 -29.8615 6.771e-18 5.495e-18 2.596e-18 0.001 39.9 0.0
S080413 44.2598 -29.9062 1.308e-17 1.095e-17 5.689e-18 0.0 41.2 0.0
S080415 44.2606 -29.8316 9.434e-21 1.333e-20 2.059e-20 0.0 40.82 0.0
S080416 44.3648 -29.8447 6.477e-19 6.681e-19 5.150e-19 0.0 37.52 0.0
S080417 44.2397 -29.7759 1.972e-18 4.013e-18 1.250e-17 0.0 41.1 0.0
S080418 44.378 -29.8719 9.185e-21 1.322e-20 2.075e-20 0.0 37.84 0.0
S080420 44.2805 -29.8705 2.046e-20 2.881e-20 4.058e-20 0.0 40.62 0.0
S080421 44.4065 -29.9366 1.597e-13 1.163e-13 4.429e-14 0.0 37.03 0.0
S080422 44.3544 -29.8928 7.824e-14 5.361e-14 1.813e-14 0.0 38.42 0.0
S080423 44.4242 -29.8782 1.103e-18 1.880e-18 4.233e-18 0.0 37.06 0.0
S080425 44.3495 -29.8082 1.452e-18 1.460e-18 1.056e-18 0.0 37.62 0.0
S080428 44.302 -29.9033 2.261e-13 1.754e-13 7.448e-14 0.0 40.79 1.0
S080429 44.2786 -29.8233 2.453e-18 2.243e-18 1.325e-18 0.0 40.08 0.0
S080430 44.2813 -29.8608 1.498e-14 1.005e-14 3.351e-15 0.0 40.68 0.0
S080431 44.2565 -29.8283 3.127e-18 2.894e-18 1.723e-18 0.0 40.82 0.0
S080433 44.3794 -29.83 1.642e-18 2.999e-18 7.583e-18 0.0 37.62 0.0
S080435 44.3088 -29.8915 7.925e-18 1.262e-17 2.425e-17 0.0 40.44 0.0
S080437 44.293 -29.871 8.824e-18 7.392e-18 3.627e-18 0.0 40.33 0.0
S080439 44.3413 -29.9025 7.027e-19 7.028e-19 5.285e-19 0.0 40.26 0.0
S080440 44.2609 -29.8629 5.074e-22 9.714e-22 2.640e-21 0.0 40.04 0.0
S080441 44.428 -29.8772 1.636e-21 2.849e-21 6.582e-21 0.0 36.9 0.0
S080442 44.3162 -29.8529 8.345e-20 1.097e-19 1.421e-19 0.0 39.57 0.0
S080443 44.2802 -29.8956 2.568e-19 2.756e-19 2.356e-19 0.0 40.56 0.0
S080444 44.3165 -29.8765 3.334e-20 4.349e-20 5.290e-20 0.0 39.62 0.0
S080446 44.3408 -29.8882 9.045e-18 7.666e-18 3.861e-18 0.0 39.22 0.0
S080448 44.4175 -29.8501 3.729e-18 6.393e-18 1.398e-17 0.0 36.9 0.0
S080449 44.3639 -29.8183 1.729e-19 1.857e-19 1.557e-19 0.0 37.26 0.0
S080451 44.329 -29.8524 5.061e-14 3.499e-14 1.208e-14 0.0 39.13 0.0
