Name X Y BlueF GreenF RedF Parallax RadialVelocity Variable?
S007595 -18.6922 22.7956 5.201e-18 4.948e-18 3.208e-18 0.0 117.75 0.0
S007596 -18.5609 22.8225 5.292e-27 3.643e-26 1.419e-24 0.0 117.14 0.0
S007597 -18.4714 22.8277 1.180e-19 1.532e-19 1.961e-19 0.0 112.59 0.0
S007598 -18.5348 22.8259 1.023e-17 9.806e-18 6.453e-18 0.0 116.05 0.0
S007599 -18.5339 22.8274 5.552e-22 1.302e-21 5.368e-21 0.0 116.13 0.0
S007600 -18.5448 22.8013 2.133e-21 3.808e-21 9.360e-21 0.0 115.72 0.0
S007601 -18.5087 22.8241 8.667e-19 9.784e-19 8.964e-19 0.0 114.36 0.0
S007602 -18.5879 22.8157 7.041e-19 7.952e-19 7.468e-19 0.0 116.75 0.0
S007603 -18.5291 22.8213 1.607e-23 4.444e-23 2.724e-22 0.0 116.2 0.0
S007604 -18.4992 22.8235 4.208e-20 6.335e-20 1.029e-19 0.0 113.65 0.0
S007605 -18.5191 22.8152 2.585e-22 5.834e-22 2.259e-21 0.0 116.6 0.0
S007606 -18.4907 22.8288 6.450e-22 1.234e-21 3.490e-21 0.0 113.41 0.0
S007607 -18.4682 22.8321 5.722e-21 9.770e-21 2.232e-20 0.0 112.68 0.0
S007608 -18.5119 22.816 3.159e-24 9.702e-24 7.379e-23 0.0 115.16 0.0
S007609 -18.4306 22.821 5.910e-24 2.002e-23 1.868e-22 0.0 113.3 1.0
S007610 -18.5115 22.8246 1.907e-22 4.537e-22 2.066e-21 0.0 114.91 0.0
S007611 -18.5049 22.8285 2.347e-21 4.383e-21 1.121e-20 0.0 113.7 0.0
S007612 -18.5318 22.8388 7.913e-27 5.407e-26 2.189e-24 0.0 115.23 0.0
S007613 -18.5185 22.8249 1.818e-17 1.653e-17 9.668e-18 0.0 115.57 0.0
S007614 -18.5229 22.8297 1.893e-22 3.814e-22 1.222e-21 0.0 116.12 0.0
S007615 -18.5102 22.824 1.057e-19 1.412e-19 1.817e-19 0.0 114.84 0.0
S007616 -18.5122 22.8172 2.528e-19 2.903e-19 2.781e-19 0.0 115.17 0.0
S007617 -18.5496 22.8123 1.566e-24 5.861e-24 6.433e-23 0.0 117.17 0.0
S007618 -18.5144 22.8267 3.822e-23 1.021e-22 5.636e-22 0.0 115.12 0.0
S007619 -18.5144 22.8263 1.540e-22 3.286e-22 1.181e-21 0.0 115.86 0.0
S007620 -18.4875 22.8271 2.296e-20 3.663e-20 6.701e-20 0.0 113.11 0.0
S007621 -18.4357 22.8357 1.532e-22 3.809e-22 1.805e-21 0.0 112.7 0.0
S007622 -18.571 22.8162 9.506e-20 1.266e-19 1.646e-19 0.0 117.43 0.0
S007623 -18.5624 22.8276 8.585e-23 2.201e-22 1.099e-21 0.0 117.01 0.0
S007624 -18.4838 22.8293 1.178e-19 1.550e-19 1.946e-19 0.0 113.26 0.0
S007625 -18.5004 22.8191 3.624e-20 5.314e-20 8.493e-20 0.0 114.41 0.0
S007626 -18.4811 22.8234 1.541e-22 3.788e-22 1.740e-21 0.001 112.96 0.0
S007627 -18.5099 22.8296 1.147e-18 1.249e-18 1.070e-18 0.0 114.27 0.0
S007628 -18.4188 22.8413 2.841e-20 4.189e-20 6.937e-20 0.0 112.59 0.0
S007629 -18.5105 22.83 1.409e-19 1.869e-19 2.393e-19 0.0 114.76 0.0
S007630 -18.516 22.8286 1.595e-24 5.575e-24 5.348e-23 0.0 116.09 0.0
S007631 -18.5265 22.83 4.147e-23 1.084e-22 5.819e-22 0.0 115.31 0.0
S007632 -18.6371 22.807 7.468e-19 8.078e-19 6.891e-19 0.0 117.59 0.0
S007633 -18.5038 22.8211 4.224e-23 1.158e-22 6.804e-22 0.0 114.25 0.0
S007634 -18.4884 22.8232 5.984e-19 7.071e-19 6.967e-19 0.001 113.39 0.0
S007635 -18.5095 22.8254 3.766e-20 5.611e-20 9.147e-20 0.0 114.64 1.0
S007636 -18.511 22.8186 7.207e-22 1.435e-21 4.314e-21 0.0 115.67 0.0
S007637 -18.5365 22.8213 6.436e-21 1.041e-20 2.039e-20 0.0 116.91 0.0
S007638 -18.5106 22.8224 2.936e-20 4.551e-20 8.004e-20 0.0 114.73 0.0
S007639 -18.5195 22.818 2.047e-20 2.991e-20 4.604e-20 0.0 115.58 0.0
S007640 -18.5022 22.8215 7.624e-23 1.866e-22 8.478e-22 0.0 113.51 0.0
S007641 -18.508 22.8238 1.890e-22 4.325e-22 1.745e-21 0.0 114.71 0.0
S007642 -18.5094 22.8203 5.967e-18 5.837e-18 3.964e-18 0.0 114.21 0.0
S007643 -18.4928 22.8288 1.003e-20 1.577e-20 2.886e-20 0.0 114.07 1.0
S007644 -18.4919 22.8352 4.464e-22 9.411e-22 3.169e-21 0.0 113.59 0.0
S007645 -18.5052 22.824 1.308e-21 2.519e-21 6.913e-21 0.0 113.58 0.0
S007646 -18.4053 22.831 1.500e-23 4.558e-23 3.155e-22 0.001 112.31 0.0
S007647 -18.5443 22.8345 1.213e-21 8.604e-22 3.041e-22 0.0 115.77 0.0
S007648 -18.5169 22.8228 1.927e-22 4.745e-22 2.235e-21 0.0 116.12 0.0
S007649 -18.532 22.823 6.724e-21 1.124e-20 2.341e-20 0.0 116.85 0.0
S007650 -18.4698 22.8324 2.182e-19 2.566e-19 2.637e-19 0.0 112.75 0.0
S007651 -18.4512 22.8361 1.189e-20 2.052e-20 4.432e-20 0.001 112.44 0.0
S007652 -18.4968 22.8287 1.832e-22 3.808e-22 1.304e-21 0.0 113.51 0.0
S007653 -18.6155 22.8067 1.509e-20 2.286e-20 4.008e-20 0.0 117.63 0.0
S007654 -18.5154 22.8307 2.056e-22 4.950e-22 2.154e-21 0.0 115.41 0.0
S007655 -18.5103 22.818 1.151e-22 3.000e-22 1.621e-21 0.0 115.42 0.0
S007656 -18.5201 22.8172 7.490e-19 8.062e-19 6.937e-19 0.0 116.58 0.0
S007657 -18.4752 22.8237 1.456e-21 2.828e-21 8.415e-21 0.0 113.04 0.0
S007658 -18.5059 22.8271 1.896e-18 1.934e-18 1.424e-18 0.0 113.45 0.0
S007659 -18.507 22.8198 9.918e-21 1.716e-20 3.973e-20 0.0 113.68 0.0
S007660 -18.4887 22.8249 1.547e-21 1.063e-21 3.786e-22 0.0 113.0 0.0
S007661 -18.5104 22.8205 1.392e-19 1.866e-19 2.467e-19 0.0 114.95 0.0
S007662 -18.5553 22.8099 3.531e-22 7.777e-22 2.894e-21 0.0 116.49 0.0
S007663 -18.561 22.8059 1.499e-17 2.552e-17 5.734e-17 0.0 116.4 0.0
S007664 -18.5182 22.8182 2.283e-18 2.273e-18 1.689e-18 0.0 116.44 0.0
S007665 -18.5713 22.8228 1.027e-17 1.586e-17 2.831e-17 0.0 117.26 0.0
S007666 -18.5173 22.8228 9.399e-23 1.880e-22 5.921e-22 0.0 116.31 0.0
S007667 -18.525 22.831 1.076e-20 1.701e-20 3.192e-20 0.0 115.45 0.0
S007668 -18.5354 22.8137 1.498e-26 9.017e-26 2.617e-24 0.0 115.64 0.0
S007669 -18.5125 22.8274 3.287e-21 5.804e-21 1.348e-20 0.0 114.92 0.0
S007670 -18.5271 22.8112 2.371e-20 3.660e-20 6.339e-20 0.0 115.44 0.0
S007671 -18.5062 22.8225 1.114e-18 1.301e-18 1.234e-18 0.0 114.44 0.0
S007672 -18.5208 22.8285 3.047e-17 4.905e-17 9.713e-17 0.0 115.82 0.0
S007673 -18.5043 22.8191 1.291e-18 1.439e-18 1.331e-18 0.0 113.76 0.0
S007674 -18.562 22.824 3.520e-27 2.447e-26 1.018e-24 0.0 117.3 0.0
S007675 -18.5089 22.8175 1.063e-18 1.146e-18 9.691e-19 0.0 114.85 0.0
S007676 -18.4711 22.8357 8.300e-21 1.294e-20 2.312e-20 0.0 113.05 0.0
S007677 -18.3855 22.8461 6.958e-13 5.255e-13 2.187e-13 0.0 112.15 1.0
S007678 -18.5095 22.8191 1.086e-22 2.528e-22 1.023e-21 0.0 114.9 0.0
S007679 -18.5518 22.7957 2.149e-17 4.490e-17 1.490e-16 0.0 115.91 0.0
S007680 -18.5173 22.8439 3.575e-18 3.646e-18 2.654e-18 0.0 114.92 0.0
S007681 -18.5155 22.8105 2.631e-22 5.874e-22 2.295e-21 0.0 116.69 0.0
S007682 -18.5154 22.8383 2.161e-23 6.269e-23 4.139e-22 0.0 114.92 0.0
S007683 -18.5144 22.821 1.400e-20 2.320e-20 4.816e-20 0.0 115.43 0.0
S007684 -18.516 22.8278 2.870e-18 3.016e-18 2.424e-18 0.0 115.61 0.0
S007685 -18.5869 22.8201 3.071e-21 5.109e-21 1.091e-20 0.0 117.45 0.0
S007686 -18.4483 22.8268 3.205e-23 8.024e-23 3.988e-22 0.0 113.12 0.0
S007687 -18.5025 22.8232 1.127e-18 1.224e-18 1.025e-18 0.0 113.57 0.0
S007688 -18.5112 22.8318 1.775e-22 4.128e-22 1.680e-21 0.0 113.43 0.0
S007689 -18.5378 22.8331 1.639e-21 1.104e-21 3.719e-22 0.0 115.38 0.0
S007690 -18.5154 22.8192 4.563e-18 4.282e-18 2.787e-18 0.0 115.54 0.0
S007691 -18.5131 22.8235 8.293e-24 2.517e-23 1.881e-22 0.0 115.36 0.0
S007692 -18.512 22.8273 7.723e-19 8.775e-19 7.988e-19 0.0 114.89 0.0
S007693 -18.5099 22.826 1.722e-23 5.341e-23 3.919e-22 0.0 114.21 0.0
S007694 -18.5369 22.8208 7.522e-26 3.798e-25 7.739e-24 0.0 116.04 0.0
S007695 -18.5102 22.819 5.012e-18 8.742e-18 1.931e-17 0.001 115.05 0.0
S007696 -18.4636 22.8354 7.555e-18 1.220e-17 2.425e-17 0.0 112.51 0.0
S007697 -18.5057 22.8336 1.002e-22 2.489e-22 1.180e-21 0.0 114.54 0.0
S007698 -18.5741 22.819 8.392e-25 3.089e-24 3.400e-23 0.0 116.59 0.0
S007699 -18.5059 22.8331 2.871e-19 3.622e-19 4.143e-19 0.0 113.44 0.0
S007700 -18.4969 22.8279 3.349e-19 4.252e-19 4.901e-19 0.0 113.39 0.0
S007701 -18.512 22.8245 6.088e-21 9.859e-21 1.875e-20 0.0 115.35 0.0
S007702 -18.5129 22.8261 3.904e-20 5.673e-20 8.647e-20 0.0 115.24 0.0
S007703 -18.5242 22.833 5.135e-24 1.684e-23 1.427e-22 0.0 115.47 0.0
S007704 -18.5501 22.8309 2.647e-25 1.082e-24 1.447e-23 0.0 115.88 0.0
S007705 -18.5323 22.8259 1.328e-20 2.094e-20 3.921e-20 0.0 115.68 0.0
S007706 -18.4955 22.821 1.322e-21 9.310e-22 3.300e-22 0.0 114.1 0.0
S007707 -18.5498 22.8211 8.723e-22 1.712e-21 5.190e-21 0.0 116.38 0.0
S007708 -18.4925 22.8362 1.533e-18 1.581e-18 1.237e-18 0.001 113.54 0.0
S007709 -18.3999 22.8617 7.156e-23 2.064e-22 1.319e-21 0.0 113.33 0.0
S007710 -18.693 22.7929 4.804e-25 1.932e-24 2.483e-23 0.0 117.79 0.0
S007711 -18.5307 22.8227 7.458e-18 1.438e-17 4.071e-17 0.0 116.19 0.0
S007712 -18.5158 22.8174 5.852e-18 1.144e-17 3.245e-17 0.0 116.24 0.0
S007713 -18.36 22.8436 4.458e-22 9.728e-22 3.411e-21 0.001 112.26 0.0
S007714 -18.5337 22.8133 2.710e-21 4.930e-21 1.221e-20 0.0 116.6 0.0
S007715 -18.5091 22.8204 1.753e-21 3.231e-21 8.319e-21 0.0 114.62 0.0
S007716 -18.5208 22.8189 7.102e-18 6.534e-18 4.045e-18 0.0 116.11 0.0
S007717 -18.5255 22.8274 4.613e-19 5.467e-19 5.557e-19 0.0 116.35 0.0
S007718 -18.538 22.8176 3.667e-21 6.766e-21 1.731e-20 0.0 116.11 0.0
S007719 -18.5102 22.8267 1.542e-21 2.965e-21 8.221e-21 0.0 114.73 0.0
S007720 -18.5008 22.8215 4.557e-19 5.324e-19 5.352e-19 0.0 113.36 0.0
S007721 -18.5439 22.823 1.652e-20 2.660e-20 5.063e-20 0.0 117.05 0.0
S007722 -18.5278 22.8187 1.747e-21 3.491e-21 1.051e-20 0.0 116.14 0.0
S007723 -18.6955 22.793 7.768e-19 8.557e-19 7.658e-19 0.0 117.71 0.0
S007724 -18.4956 22.8298 7.043e-23 1.912e-22 1.047e-21 0.0 113.44 0.0
S007725 -18.5125 22.829 1.907e-19 2.531e-19 3.162e-19 0.0 114.84 0.0
S007726 -18.5288 22.8238 1.123e-17 1.928e-17 4.345e-17 0.0 116.6 0.0
S007727 -18.5309 22.8156 2.645e-22 6.002e-22 2.382e-21 0.0 115.73 0.0
S007728 -18.4894 22.8277 2.065e-19 2.695e-19 3.430e-19 0.0 113.02 0.0
S007729 -18.5695 22.8088 4.834e-20 7.019e-20 1.097e-19 0.0 117.07 0.0
S007730 -18.5019 22.8249 1.785e-17 2.892e-17 5.734e-17 0.0 113.58 0.0
S007731 -18.4998 22.8261 8.840e-21 1.494e-20 3.072e-20 0.0 113.24 0.0
S007732 -18.5055 22.826 1.471e-22 3.744e-22 1.824e-21 0.0 113.89 0.0
S007733 -18.498 22.8336 1.016e-22 2.365e-22 9.650e-22 0.0 114.43 0.0
S007734 -18.4629 22.8329 9.635e-22 1.916e-21 5.780e-21 0.0 112.56 0.0
S007735 -18.541 22.8331 2.519e-19 3.204e-19 3.785e-19 0.0 116.24 0.0
S007736 -18.5303 22.8237 8.361e-23 2.145e-22 1.088e-21 0.0 116.6 0.0
S007737 -18.5289 22.8103 5.468e-23 1.406e-22 7.376e-22 0.0 116.61 0.0
S007738 -18.5081 22.8289 3.605e-23 1.058e-22 6.948e-22 0.0 114.0 0.0
S007739 -18.4716 22.8218 1.360e-19 1.747e-19 2.133e-19 0.0 112.9 0.0
S007740 -18.4868 22.8257 9.140e-20 1.321e-19 1.990e-19 0.0 113.82 0.0
S007741 -18.4918 22.8303 1.391e-18 1.531e-18 1.319e-18 0.0 113.08 0.0
S007742 -18.4997 22.8205 9.369e-19 1.056e-18 9.501e-19 0.0 114.66 0.0
S007743 -18.4928 22.8257 8.873e-20 1.246e-19 1.753e-19 0.0 114.26 0.0
