Name X Y BlueF GreenF RedF Size RadialVelocity
DG2271 -1.7825 -21.7602 2.175e-16 1.693e-16 7.786e-17 72.7911 677.07
DG2272 -1.7183 -21.4166 2.863e-16 2.328e-16 1.061e-16 60.6689 676.85
DG2273 -1.7862 -21.5430 6.359e-26 1.854e-27 8.221e-33 76.6727 675.42
DG2274 42.3740 11.7775 7.363e-16 6.164e-16 2.621e-16 213.0015 326.75
DG2275 42.3576 12.0825 1.264e-15 8.810e-16 4.543e-16 156.7106 325.61
DG2276 42.6768 11.9986 1.049e-15 8.356e-16 3.875e-16 110.483 324.78
DG2277 42.0320 11.7744 5.900e-26 1.478e-27 7.052e-33 157.8462 324.97
DG2278 42.7197 11.8341 5.645e-26 1.535e-27 6.708e-33 175.0978 326.25
DG2279 2.8537 -9.2956 1.686e-15 1.334e-15 4.957e-16 310.3077 394.07
DG2280 2.7661 -9.1112 4.456e-16 3.444e-16 1.524e-16 208.1067 393.68
DG2281 3.3139 -9.4418 6.471e-16 4.820e-16 2.163e-16 119.0759 392.99
DG2282 2.8206 -9.6372 6.127e-16 4.930e-16 2.385e-16 91.9517 396.96
DG2283 2.6523 -8.8348 4.441e-16 3.659e-16 1.789e-16 112.0563 394.46
DG2284 2.5329 -9.2663 7.218e-16 5.179e-16 2.203e-16 112.5796 393.79
DG2285 2.8835 -9.7083 6.945e-16 6.236e-16 2.495e-16 123.0861 395.99
DG2286 2.7849 -9.6847 6.568e-16 5.164e-16 2.923e-16 118.9483 396.66
DG2287 3.2590 -9.1796 5.649e-26 1.521e-27 7.014e-33 140.8714 392.27
DG2288 2.8879 -9.0262 5.850e-26 1.428e-27 6.473e-33 107.6837 390.81
DG2289 2.7183 -8.6546 7.007e-16 5.604e-16 2.587e-16 109.1909 397.57
DG2290 3.0637 -9.5286 5.180e-26 1.445e-27 7.350e-33 122.7928 396.16
DG2291 2.4379 -9.6654 5.434e-26 1.452e-27 6.067e-33 132.2547 391.55
DG2292 2.8629 -9.3721 6.356e-16 4.581e-16 2.104e-16 113.1882 391.9
DG2293 2.6767 -9.6736 9.320e-16 7.278e-16 3.055e-16 107.1541 396.17
DG2294 2.8911 -8.8185 5.296e-26 1.461e-27 6.864e-33 109.0403 395.93
DG2295 2.8514 -8.8416 7.202e-16 5.509e-16 2.454e-16 125.0224 392.22
DG2368 -17.1288 29.6691 1.353e-16 1.106e-16 4.829e-17 60.1811 910.16
DG2369 -17.1287 29.6185 9.007e-26 2.670e-27 1.284e-32 69.3231 910.02
DG2400 26.6603 10.0428 8.439e-15 6.879e-15 2.195e-15 692.2007 222.01
DG2401 25.7159 10.1976 9.158e-26 2.405e-27 1.030e-32 286.673 222.48
DG2402 27.2238 10.2119 3.522e-15 2.706e-15 1.246e-15 266.3991 224.14
DG2403 26.3450 9.2705 3.605e-15 2.608e-15 1.351e-15 272.2496 223.16
DG2404 27.5216 9.9250 3.392e-15 2.727e-15 1.190e-15 252.6605 223.06
DG2405 27.4059 10.2062 8.151e-26 2.347e-27 1.145e-32 261.319 223.02
DG2406 26.3345 9.6629 4.845e-15 3.911e-15 1.475e-15 278.9261 219.93
DG2407 26.0579 9.8540 3.661e-15 2.678e-15 1.133e-15 259.1388 219.38
DG2408 26.5973 8.8681 3.617e-15 2.776e-15 1.356e-15 251.5277 221.83
DG2409 25.3234 9.2971 3.383e-15 2.724e-15 1.111e-15 243.2269 221.68
DG2410 26.9057 10.7278 8.784e-26 2.439e-27 1.094e-32 303.9714 224.2
DG2411 25.7382 9.4086 9.177e-26 2.202e-27 1.169e-32 338.0317 223.61
DG2447 -28.9424 -24.8996 6.827e-16 5.258e-16 1.698e-16 109.8054 675.43
DG2448 -29.0691 -25.1577 2.402e-16 2.017e-16 1.013e-16 62.9366 674.55
DG2449 -28.8891 -24.6900 2.679e-16 2.218e-16 1.024e-16 71.8189 675.85
DG2450 -29.2450 -25.1784 2.580e-16 2.045e-16 8.437e-17 63.7573 674.69
DG2451 -29.2503 -24.7961 2.470e-16 2.172e-16 7.203e-17 47.017 675.08
DG2452 -29.0074 -24.7653 2.345e-16 1.878e-16 9.811e-17 62.1589 676.82
DG2453 -28.4834 -24.7738 7.542e-26 2.009e-27 9.804e-33 72.2354 676.17
DG2454 -28.8744 -25.2585 7.247e-26 2.121e-27 9.309e-33 75.8557 674.66
DG2455 -28.7703 -24.7641 2.579e-16 2.002e-16 9.480e-17 64.5759 673.96
DG2456 -29.2795 -24.9281 2.655e-16 2.278e-16 1.025e-16 71.0421 674.59
DG2457 -29.1365 -25.1718 2.428e-16 1.997e-16 7.984e-17 65.8798 674.64
DG2458 -28.6879 -24.9747 2.277e-16 2.021e-16 8.722e-17 57.5512 675.43
DG2459 -28.8428 -24.7608 2.422e-16 2.138e-16 9.150e-17 64.4079 678.16
